name,groesse,relevant_fuer,branche,website,kontakt_email,telefonnummer,standort,notizen
Digital Masters GmbH,Mittel,"Animation & Illustration, Design, Marketingmanagement",Digital und Animation,https://digital-masters.de,info@digital-masters.de,"+49 40 95064690",Hamburg,Full-Service Digitalagentur mit Fokus auf E-Commerce & Animationserfahrung
Glasmeyer Branding GmbH,Mittel,"Animation & Illustration, Brandmanagement, Design",Brand & Digital Design,https://glasmeyer-branding.de,office@glasmeyer-branding.de,"+49 40 4231230",Hamburg,Branding-Agentur mit 3D‑Animationen & Designlösungen
oktopods Agency,Klein,"Animation & Illustration, Medien- und Kommunikationsdesign, Design",Animation & Branding,https://oktopods.com,contact@oktopods.com,"+49 40 79005930",Hamburg,Kreative 2D-Animation für Medien & digitale Dienstleistungen
Advids,Klein,"Animation & Illustration, Design, Marketingmanagement",2D Animationsproduktion,https://advids.co,design@advids2.com,"+49 40 91607015",Hamburg,Erklärvideos & Character Animation für Startups & Corporates
Nivago,Klein,"Animation & Illustration, Design, International/Business",2D & 3D Animation,https://nivago.com,info@nivago.com,,Hamburg,Software-Demos & Character Animation
Red Parrot Studios,Klein,"Animation & Illustration, Design, Medien- und Kommunikationsdesign",2D/3D Animation,https://redparrot-studios.com,info@redparrot-studios.com,"+49 40 2853056-30",Hamburg,Brand Visual Storytelling & Rotoscoping
CARTEL,Klein,"Animation & Illustration, Design, Architekturvisualisierung",2D/3D Animation & ArchVisuals,https://cartel.tv,hello@cartel.tv,,Hamburg,Stylishe Motion Graphics & Architekturvisuals
TRIKK17 – Animationsraum GmbH & Co. KG,Mittel,"Animation & Illustration, Design, Medien- und Kommunikationsdesign",Stop-Motion Animation,https://trikk17.com,info@trikk17.de,,Hamburg,Stop-Motion & Cut-Out-Animation seit 2001
JUNO GmbH,Klein,"Brandmanagement","Brand Management Software",https://juno-hamburg.com,hi@juno-hamburg.com,"+49 40 43280512",Hamburg,"Brand-Strategie & Management für Design-Marken"
MONOKI – Die Markenagentur,Klein,"Brandmanagement, Design","Branding Agentur",https://monoki.de,hallo@monoki.de,"+49 40 4191274-0",Hamburg,"Corporate Identity & Markenstrategie"
DREHMOMENT Marketing GmbH,Mittel,"Brandmanagement, Marketingmanagement","Marketing Agentur",https://www.drehmoment-marketing.de,info@drehmoment-marketing.de,,Hamburg,"Kommunikationsstrategie & Markenführung"
brandtouch° GmbH,Klein,"Brandmanagement, Design","Markenstrategie & Design",https://brandtouch.com,contact@brandtouch.com,,Hamburg,"Brand-Consulting & Corporate Design"
TRACK GmbH,Klein,"Brandmanagement, Marketingmanagement","CRM & Brand Management",https://www.track.de,info@track.de,,Hamburg,"CRM-basierte Markenführung & Datenintegration"
deerns & jungs Designagentur,Klein,"Design","Corporate & Packaging Design",https://duj-design.de,hello@duj-design.de,"+49 40 65033030",Hamburg,"Workshops, Corporate Design & Social Media Kampagnen"
Punktlandung Werbeagentur,Klein,"Design","Corporate Identity & Branding",https://punktlandung.net,treffer@punktlandung.net,"+49 40 80606940",Hamburg,"Strategisches Corporate Design & langfristige Kundenbindung" 
the Y GmbH,Klein,"Design","Brand Experience Design",https://the-y.com,info@the-y.com,,Hamburg,"Markenerlebnis & Experience Design" 
Vagabunt Kreativagentur,Klein,"Design","Full‑Service Kreativagentur",https://vagabunt-agentur.de,info@vagabunt-agentur.de,"+49 40 20959767",Hamburg,"Branding, Webdesign & Illustration" 
brandtbrandt GmbH,Klein,"Design","Interdisziplinäres Designstudio",https://www.brandtbrandt.com,info@brandtbrandt.com,"+49 40 40171616",Hamburg,"Corporate, Packaging & Editorial Design" 
jens pelikan & friends GmbH & Co. KG,Mittel,Eventmanagement,Full-Service Eventagentur,https://jpaf.de,info@jpaf.de,+49 40 23880440,Hamburg,360° Eventplanung: Jubiläen, Konferenzen, Incentives
HEP Hanseatische Event Partner GmbH,Mittel,Eventmanagement,Corporate Events & Incentives,https://www.hep-hamburg.de,mail@hep-hamburg.de,+49 40 55009070,Hamburg,Firmenevents, Teambuilding, Incentives
ZELFMADE GmbH,Klein,Eventmanagement,Eventagentur,https://www.zelfmade.de,mail@zelfmade.de,+49 40 38629000,Hamburg,Präzise Eventplanung & Live-Marketing
Heimathafen Hamburg Events GmbH,Klein,Eventmanagement,Livekommunikation & Hybrid Events,https://heimathafenhamburg.events,mail@heimathafenhamburg.events,+49 40 432167807,Hamburg,Live-Kommunikation, hybride Eventformate
respect. agency for live communication GmbH,Klein,Eventmanagement,Internationale Eventagentur,https://www.respect-live.de,hamburg@respect-live.com,+49 40 46778390,Hamburg,Corporate & Incentive Events mit Fokus auf Live-Kommunikation
MODEL MANAGEMENT Heidi Gross GmbH & Co. KG,Groß,Fashion Management,Modelagentur,https://www.model-management.de,info@model-management.de,+49 40 440555,Hamburg,Top-Agentur für High Fashion & Commercial Models
SPORTFIVE Germany GmbH,Groß,Fußballmanagement,Sportmarketing & Rechte,https://www.sportfive.de,info@sportfive.com,+49 40 376770,Hamburg,Internationale Sportrechte- und Sponsoring-Agentur mit Fokus auf Fußball
MODEL MANAGEMENT Heidi Gross GmbH & Co. KG,Groß,Fashion Management,Modelagentur,https://www.model-management.de,info@model-management.de,+49 40 440555,Hamburg,Top-Agentur für High-Fashion- & Commercial-Models
Le Management,Groß,Fashion Management,Modelagentur,https://lemanagement.de,jannick@lemanagement.dk,,Hamburg,Internationale Modelagentur mit Büro in Hamburg
MUGA Modelmanagement,Klein,Fashion Management,Modelagentur,https://www.mugamanagement.com,info@muga-model.de,+49 40 88167668,Hamburg,Boutique-Agentur für Fashion- und Werbemodels
Olsen Mode GmbH,Groß,Fashion Management,Modeunternehmen,https://www.olsenfashion.com,info@olsen.de,+49 40 855600,Hamburg,Frauenmodemarke mit Sitz in Hamburg seit 1901
ABOUT YOU SE & Co. KG,Groß,Fashion Management,Online-Fashion-Retailer,https://www.aboutyou.com,kundenservice@aboutyou.de,+49 40 638569100,Hamburg,Größter Fashion-Onlinehändler aus Hamburg
SPORTFIVE Germany GmbH,Groß,Fußballmanagement,Sportmarketing & Rechte,https://www.sportfive.de,info@sportfive.com,+49 40 376770,Hamburg,Internationale Sportrechte- & Sponsoring-Agentur mit Fokus Fußball
U! Sports GmbH,Mittel,Fußballmanagement,Sportmarketing & Rechte,https://www.usports.de,info@usports.de,,Hamburg,Media- & Rechtevermarktung u. Sponsoring für Fußball & weitere Sportarten
First GOAL Sportmanagement GmbH & Co. KG,Klein,Fußballmanagement,Spielerberatung,https://first-goal.de,mail@first-goal.de,,Hamburg,Spieler-/Karriereberatung im Fußball
Match IQ GmbH,Klein,Fußballmanagement,Sportmarketing,https://matchiq.de,info@matchiq.de,+49 40 85403921,Hamburg,Sportmarketing & Eventorganisation im Fußball
CSIGHT GmbH,Klein,Fußballmanagement,Sportmarketing,https://csight.de,info@csight.com,+49 40 70383644,Hamburg,Datenbasierte Sportmarketing-Strategien inklusive Fußballanalyse
Hamburg Marketing GmbH,Groß,Business Management,Stadtmarketing,https://marketing.hamburg.de,info@marketing.hamburg.de,+49 40 41 11 10 638,Hamburg (Wexstraße 7, 20355),Stadtmarketing & Wirtschaftsförderung der Metropolregion Hamburg
Hamburg Invest GmbH,Groß,Business Management,Wirtschaftsförderung,https://www.hamburg-invest.com,info@hamburg-invest.com,+49 40 2270190,Hamburg (Wexstraße 7, 20355),Wirtschaftsförderung & Standortentwicklung Hamburg
NIT Northern Institute of Technology Management,Klein,Business Management,Technologie-Management,https://www.nithh.de,info@nithh.de,,Hamburg,Business School für MBA in Technology Management
BREEZE SPORTS GmbH,Klein,Sportmanagement,Sportmarketing & Event,https://www.breeze-sports.de,info@breeze-sports.de,,Hamburg,Sportmarketing für Beachvolleyball, Fußball, Motorsport 
EMG Mundial – Sports Media GmbH,Mittel,Sportmanagement,Sportmedien & Management,https://emgmundial.com,contact@emgmundial.com,,Hamburg,Internationale Sportmedienagentur mit Sitz in Hamburg 
IMG GmbH,Groß,Sportmanagement,Sportrechte & Events,https://imgworld.com,info@imgworld.com,,Hamburg,Vermarktung von Fußball/Rechte & Events 
Sportfive Germany GmbH,Groß,Sportmanagement,Sportrechtevermarktung,https://www.sportfive.de,info@sportfive.com,+49 40 376770,Hamburg,Ganzheitliche Sportrechte- & Sponsoringagentur 
devonSPORT GmbH,Klein,Sportmanagement,Sportbusiness,https://devon-sport.de,experten@devon-sport.de,+49 40 468958575,Hamburg,Sportbusiness & Kommunikation
